"Name","Gender","Party","Roles","IsParlamentMember","IsOrdförande","IsGovernmentMember","ISViceOrförande"
"Malin Larsson","kvinna","S","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Mikael Larsson","man","C","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Stina Larsson","kvinna","C","Riksdagsledamot, Ledamot","False","False","True","False"
"Anna Lasses","kvinna","C","Riksdagsledamot, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Rebecka Le Moine","kvinna","MP","Riksdagsledamot, Suppleant, Suppleant, Suppleant, Suppleant, Ledamot, Suppleant","False","False","True","False"
"Zara Leghissa","kvinna","S","Riksdagsledamot, Suppleant","False","False","True","False"
"Andreas Lennkvist Manriquez","man","V","Riksdagsledamot, Suppleant, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Sanne Lennström","kvinna","S","Riksdagsledamot, Ledamot, Suppleant, Ledamot","False","False","True","False"
"Joanna Lewerentz","kvinna","M","Ersättare, Extra suppleant","False","False","False","False"
"Ann-Sofie Lifvenhage","kvinna","M","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Ulrika Liljeberg","kvinna","C","Suppleant, Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Amanda Lind","kvinna","MP","Riksdagsledamot, Ordförande, Suppleant, Suppleant","False","True","True","False"
"Fredrik Lindahl","man","SD","Ledamot, Riksdagsledamot, Ledamot, Ledamot, Suppleant","False","False","True","False"
"Helena Lindahl","kvinna","C","Riksdagsledamot, Ledamot","False","False","True","False"
"Kristoffer Lindberg","man","S","Riksdagsledamot, Suppleant, Suppleant","False","False","True","False"
"Linda Lindberg","kvinna","SD","Gruppledare, Riksdagsledamot, Suppleant, Ledamot, Suppleant, Suppleant, Ledamot, Suppleant","False","False","True","False"
"Eva Lindh","kvinna","S","Riksdagsledamot, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Ulf Lindholm","man","SD","Riksdagsledamot, Suppleant, Suppleant, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Rasmus Ling","man","MP","Gruppledare, Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Suppleant, Ledamot, Ledamot","False","False","True","False"
"Katarina Luhr","kvinna","MP","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Marléne Lund Kopparklint","kvinna","M","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Angelica Lundberg","kvinna","SD","Riksdagsledamot, Suppleant, Suppleant","False","False","True","False"
"Kerstin Lundgren","kvinna","C","Riksdagsledamot, Tredje vice talman, Ledamot, Suppleant, Suppleant, Ordförande, Ledamot, Tredje vice ordförande","False","True","True","False"
"Fredrik Lundh Sammeli","man","S","Riksdagsledamot, Vice ordförande, Suppleant, Ledamot","False","False","True","True"
"Eleonore Lundkvist","kvinna","M","Ersättare, Extra suppleant, Extra suppleant","False","False","False","False"
"Patrik Lundqvist","man","S","Riksdagsledamot, Ledamot, Ledamot","False","False","True","False"
"David Lång","man","SD","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Petter Löberg","man","S","Riksdagsledamot, Ledamot, Vice ordförande","False","False","True","True"
"Johan Löfstrand","man","S","Förste vice gruppledare, Riksdagsledamot, Suppleant, Suppleant, Ledamot, Ledamot","False","False","True","False"
"Adrian Magnusson","man","S","Riksdagsledamot, Suppleant, Suppleant","False","False","True","False"
"Fredrik Malm","man","L","Riksdagsledamot, Ordförande, Suppleant, Suppleant, Suppleant, Suppleant, Ledamot","False","True","True","False"
"Josefin Malmqvist","kvinna","M","Riksdagsledamot, Ledamot","False","False","True","False"
"Magnus Manhammar","man","S","Riksdagsledamot, Ledamot","False","False","True","False"
"Noria Manouchi","kvinna","M","Andre vice gruppledare, Riksdagsledamot, Ledamot, Suppleant, Ledamot, Ersättare","False","False","True","False"
"Adam Marttinen","man","SD","Riksdagsledamot, Ledamot, Suppleant, Ordförande","False","True","True","False"
"Louise Meijer","kvinna","M","Riksdagsledamot, Ledamot, Personlig suppleant, Suppleant, Suppleant","False","False","True","False"
"Martin Melin","man","L","Statsrådsersättare, Ledamot, Suppleant, Suppleant, Suppleant, Suppleant, Suppleant","False","False","False","False"
"Isabell Mixter","kvinna","V","Kvittningsperson, Riksdagsledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Thomas Morell","man","SD","Riksdagsledamot, Vice ordförande","False","False","True","True"
"Azra Muranovic","kvinna","S","Riksdagsledamot, Suppleant","False","False","True","False"
"Camilla Mårtensen","kvinna","L","Kvittningsperson, Statsrådsersättare, Ledamot, Suppleant, Suppleant, Suppleant","False","False","False","False"
"Ola Möller","man","S","Riksdagsledamot, Ledamot","False","False","True","False"
"Laila Naraghi","kvinna","S","Riksdagsledamot, Ledamot","False","False","True","False"
"Marie Nicholson","kvinna","M","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Elin Nilsson","kvinna","L","Statsrådsersättare, Ledamot, Suppleant, Ledamot","False","False","False","False"
"Jennie Nilsson","kvinna","S","Riksdagsledamot, Ledamot, Ledamot","False","False","True","False"
"Ulrik Nilsson","man","M","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Emma Nohrén","kvinna","MP","Riksdagsledamot, Ordförande, Suppleant, Suppleant, Suppleant, Ledamot","False","True","True","False"
"Carl Nordblom","man","M","Statsrådsersättare, Suppleant, Suppleant, Suppleant","False","False","False","False"
"Gudrun Nordborg","kvinna","V","Riksdagsledamot, Ledamot","False","False","True","False"
"Rickard Nordin","man","C","Riksdagsledamot, Suppleant, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Lina Nordquist","kvinna","L","Gruppledare, Riksdagsledamot, Ledamot, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Charlotte Nordström","kvinna","M","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Susanne Nordström","kvinna","M","Talmansersättare, Ledamot, Suppleant","False","False","False","False"
"Liza-Maria Norlin","kvinna","KD","Ersättare, Extra suppleant, Extra suppleant, Extra suppleant, Partisekreterare","False","False","False","False"
"Katja Nyberg","kvinna","SD","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Ingela Nylund Watz","kvinna","S","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Emelie Nyman","kvinna","C","Ersättare, Suppleant, Suppleant","False","False","False","False"
"Leif Nysmed","man","S","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Mona Olin","kvinna","SD","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Peter Ollén","man","M","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Jakob Olofsgård","man","L","Partisekreterare, Riksdagsledamot, Suppleant, Suppleant","False","False","True","False"
"Fredrik Olovsson","man","S","Riksdagsledamot, Ledamot, Suppleant, Ledamot","False","False","True","False"
"Stefan Olsson","man","M","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Magnus Oscarsson","man","KD","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Mikael Oscarsson","man","KD","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Erik Ottoson","man","M","Riksdagsledamot, Vice ordförande, Suppleant, Ledamot, Ledamot","False","False","True","True"
"Kjell-Arne Ottosson","man","KD","Riksdagsledamot, Vice ordförande, Suppleant, Suppleant, Ledamot","False","False","True","True"
"Mattias Ottosson","man","S","Riksdagsledamot, Ledamot","False","False","True","False"
"Eric Palmqvist","man","SD","Riksdagsledamot, Ledamot, Ledamot, Suppleant","False","False","True","False"
"Amanda Palmstierna","kvinna","MP","Ersättare, Extra suppleant, Extra suppleant","False","False","False","False"
"Daniel Persson","man","SD","Riksdagsledamot, Ledamot","False","False","True","False"
"Magnus Persson","man","SD","Riksdagsledamot, Ordförande","False","True","True","False"
"Helén Pettersson","kvinna","S","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Ewa Pihl Krabbe","kvinna","S","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Lars Püss","man","M","Riksdagsledamot, Ledamot, Ledamot","False","False","True","False"
"Charlotte Quensel","kvinna","SD","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Saila Quicklund","kvinna","M","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Thomas Ragnarsson","man","M","Riksdagsledamot, Suppleant, Suppleant","False","False","True","False"
"Anette Rangdag","kvinna","SD","Ersättare, Extra suppleant, Extra suppleant, Extra suppleant, Extra suppleant","False","False","False","False"
"Johanna Rantsi","kvinna","M","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Lawen Redar","kvinna","S","Riksdagsledamot, Ledamot","False","False","True","False"
"Magnus Resare","man","M","Statsrådsersättare, Ledamot, Suppleant, Suppleant","False","False","False","False"
"Patrick Reslow","man","SD","Riksdagsledamot, Ledamot","False","False","True","False"
"Adam Reuterskiöld","man","M","Statsrådsersättare, Suppleant, Suppleant","False","False","False","False"
"Daniel Riazat","man","V","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Edward Riedl","man","M","Riksdagsledamot, Ordförande, Ledamot, Suppleant","False","True","True","False"
"Jan Riise","man","MP","Suppleant, Kvittningsperson, Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Camilla Rinaldo Miller","kvinna","KD","Statsrådsersättare, Suppleant, Suppleant, Suppleant, Suppleant, Suppleant","False","False","False","False"
"Jacob Risberg","man","MP","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Jessica Rodén","kvinna","S","Riksdagsledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Mauricio Rojas","man","L","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Azadeh Rojhan","kvinna","S","Riksdagsledamot, Ledamot, Suppleant, Ledamot","False","False","True","False"
"Jessica Rosencrantz","kvinna","M","Förste vice gruppledare, Riksdagsledamot, Ordförande, Ledamot, Ledamot, Ledamot","False","True","True","False"
"Oliver Rosengren","man","M","Riksdagsledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Michael Rubbestad","man","SD","Förste vice gruppledare, Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Ledamot, Suppleant, Ersättare","False","False","True","False"
"Karin Rågsjö","kvinna","V","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Mirja Räihä","kvinna","S","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Cecilia Rönn","kvinna","L","Ledamot, Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Joakim Sandell","man","S","Riksdagsledamot, Suppleant, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Markus Selin","man","S","Riksdagsledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Ardalan Shekarabi","man","S","Riksdagsledamot, Vice ordförande, Ledamot","False","False","True","True"
"Niklas Sigvardsson","man","S","Riksdagsledamot, Suppleant","False","False","True","False"
"Anna af Sillén","kvinna","M","Statsrådsersättare, Suppleant, Suppleant","False","False","False","False"
"Inga-Lill Sjöblom","kvinna","S","Riksdagsledamot, Suppleant, Suppleant","False","False","True","False"
"Anne-Li Sjölund","kvinna","C","Riksdagsledamot, Suppleant, Suppleant","False","False","True","False"
"Oscar Sjöstedt","man","SD","Riksdagsledamot, Ledamot, Ledamot","False","False","True","False"
"Jesper Skalberg Karlsson","man","M","Riksdagsledamot, Ledamot, Suppleant, Ledamot","False","False","True","False"
"Linus Sköld","man","S","Riksdagsledamot, Ledamot","False","False","True","False"
"Sofia Skönnbrink","kvinna","S","Riksdagsledamot, Suppleant","False","False","True","False"
"Mona Smedman","kvinna","C","Ersättare, Suppleant, Suppleant","False","False","False","False"
"Anna Starbrink","kvinna","L","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Jessica Stegrud","kvinna","SD","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant","True","False","True","False"
"Robert Stenkvist","man","SD","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Maria Stockhaus","kvinna","M","Riksdagsledamot, Ledamot, Ledamot, Vice ordförande","False","False","True","True"
"Helena Storckenfeldt","kvinna","M","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Annika Strandhäll","kvinna","S","Riksdagsledamot, Ledamot, Ledamot","False","False","True","False"
"Anna-Belle Strömberg","kvinna","S","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Carina Ståhl Herrstedt","kvinna","SD","Kvittningsperson, Riksdagsledamot, Ledamot, Ledamot, Ledamot, Ersättare","False","False","True","False"
"Jimmy Ståhl","man","SD","Riksdagsledamot, Ledamot","False","False","True","False"
"Karin Sundin","kvinna","S","Riksdagsledamot, Suppleant","False","False","True","False"
"Gunilla Svantorp","kvinna","S","Riksdagsledamot, Ledamot, Ledamot, Ledamot","False","False","True","False"
"Johnny Svedin","man","SD","Riksdagsledamot, Suppleant, Suppleant","False","False","True","False"
"Håkan Svenneling","man","V","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Jonathan Svensson","man","S","Riksdagsledamot, Suppleant","False","False","True","False"
"Oskar Svärd","man","M","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Ilona Szatmári Waldau","kvinna","V","Suppleant, Riksdagsledamot, Ledamot, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Anna-Caren Sätherberg","kvinna","S","Riksdagsledamot, Ledamot, Ledamot","False","False","True","False"
"Björn Söder","man","SD","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Ledamot, Ledamot, Suppleant","False","False","True","False"
"Larry Söder","man","KD","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Ledamot, Kvittningsperson","False","False","True","False"
"Elin Söderberg","kvinna","MP","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Per Söderlund","man","SD","Riksdagsledamot, Vice ordförande","False","False","True","True"
"Mathias Tegnér","man","S","Riksdagsledamot, Ledamot, Ledamot, Suppleant","False","False","True","False"
"Elisabeth Thand Ringqvist","kvinna","C","Förste vice gruppledare, Riksdagsledamot, Vice ordförande, Suppleant, Suppleant, Ledamot, Ersättare, Suppleant","False","False","True","True"
"Olle Thorell","man","S","Riksdagsledamot, Ledamot","False","False","True","False"
"Louise Thunström","kvinna","S","Riksdagsledamot, Suppleant, Suppleant","False","False","True","False"
"Victoria Tiblom","kvinna","SD","Riksdagsledamot, Suppleant, Suppleant, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Björn Tidland","man","SD","Riksdagsledamot, Ledamot","False","False","True","False"
"Beatrice Timgren","kvinna","SD","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Katarina Tolgfors","kvinna","M","Statsrådsersättare, Suppleant, Suppleant","False","False","False","False"
"Vasiliki Tsouplaki","kvinna","V","Förste vice gruppledare, Riksdagsledamot, Ledamot, Suppleant, Ledamot, Ersättare, Suppleant","False","False","True","False"
"Roland Utbult","man","KD","Riksdagsledamot, Ledamot","False","False","True","False"
"Linda W Snecker","kvinna","V","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Anna Wallentheim","kvinna","S","Riksdagsledamot, Ledamot, Suppleant, Ledamot, Ledamot","False","False","True","False"
"Hans Wallmark","man","M","Riksdagsledamot, Suppleant, Suppleant, Ordförande, Ordförande, Ledamot, Suppleant","False","True","True","False"
"Ciczie Weidby","kvinna","V","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"John E Weinerhall","man","M","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Daniel Vencu Velasquez Castro","man","S","Riksdagsledamot, Suppleant","False","False","True","False"
"Marcus Wennerström","man","S","Ersättare, Extra suppleant, Extra suppleant","False","False","False","False"
"Mattias Vepsä","man","S","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Jennie Wernäng","kvinna","M","Statsrådsersättare, Suppleant","False","False","False","False"
"Hanna Westerén","kvinna","S","Riksdagsledamot, Ledamot, Suppleant, Vice ordförande, Personlig suppleant","False","False","True","True"
"Ulrika Westerlund","kvinna","MP","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Åsa Westlund","kvinna","S","Riksdagsledamot, Vice ordförande, Ledamot","False","False","True","True"
"Martin Westmont","man","SD","Riksdagsledamot, Ledamot, Ledamot","False","False","True","False"
"Eric Westroth","man","SD","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Jessica Wetterling","kvinna","V","Ledamot, Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Linnéa Wickman","kvinna","S","Riksdagsledamot, Ledamot, Suppleant, Ledamot","False","False","True","False"
"Elsa Widding","kvinna","-","Riksdagsledamot","False","False","True","False"
"John Widegren","man","M","Riksdagsledamot, Ledamot, Suppleant, Personlig suppleant","False","False","True","False"
"Björn Wiechel","man","S","Riksdagsledamot, Ledamot, Suppleant, Ledamot","False","False","True","False"
"Markus Wiechel","man","SD","Riksdagsledamot, Ledamot, Suppleant, Ordförande, Ledamot, Ledamot","False","True","True","False"
"Mats Wiking","man","S","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Anna Vikström","kvinna","S","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Helena Vilhelmsson","kvinna","C","Riksdagsledamot, Suppleant, Suppleant, Suppleant, Suppleant, Ledamot, Suppleant","False","False","True","False"
"Henrik Vinge","man","SD","Riksdagsledamot, Ledamot, Ledamot, Ledamot","False","False","True","False"
"Lars Wistedt","man","SD","Riksdagsledamot, Vice ordförande, Suppleant, Suppleant, Suppleant, Suppleant, Suppleant","False","False","True","True"
"Mariya Voyvodova","kvinna","S","Ersättare, Extra suppleant, Extra suppleant","False","False","False","False"
"Viktor Wärnick","man","M","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Alexandra Völker","kvinna","S","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Anders Ygeman","man","S","Riksdagsledamot, Ledamot, Ledamot","False","False","True","False"
"Leonid Yurkovskiy","man","SD","Riksdagsledamot, Suppleant, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Boriana Åberg","kvinna","M","Riksdagsledamot, Ledamot, Ledamot, Suppleant","False","False","True","False"
"Anders Ådahl","man","C","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Martin Ådahl","man","C","Riksdagsledamot, Ledamot","False","False","True","False"
"Jimmie Åkesson","man","SD","Partiledare, Riksdagsledamot, Ledamot, Ledamot","False","False","True","False"
"Carina Ödebrink","kvinna","S","Riksdagsledamot, Ledamot, Suppleant, Ledamot","False","False","True","False"
"Paula Örn","kvinna","S","Ersättare, Extra suppleant","False","False","False","False"
